OBJECTID,PROJECT_NUMBER,SEGMENT_NUMBER,LINE_TYPE,LINE_TYPE_DESC,PHYSICAL_PIPE_LENGTH,STATUS,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE,SHAPELEN
292878,000024561,3,GA,Gathering,2875,Active,100103068,2018-01-11T14:34:18.000Z,,,Encana Corporation,OGAA,SNK,2881.1148416372
292879,000024561,4,FL,Flow,3022,Active,100103068,2018-01-11T14:34:18.000Z,,,Encana Corporation,OGAA,SNK,3027.3789032794
292881,000024564,2,GA,Gathering,46,New,100103078,2017-08-29T13:56:34.000Z,,,Shell Canada Limited,OGAA,SNK,45.4006217668877
292882,000024566,1,GA,Gathering,1100,New,100103092,2017-08-22T15:55:21.000Z,,,Crew Energy Inc.,OGAA,CGWC,1097.02428102475
292883,000024568,1,GA,Gathering,72,Active,100103106,2017-08-11T14:18:15.000Z,,,Todd Energy Canada Limited,OGAA,GPSD,71.7954515730268
292884,000024573,1,GA,Gathering,5977,Active,100102986,2017-08-15T16:11:41.000Z,,,Canbriam Energy Inc.,OGAA,GPSD,5977.51774971141
292885,000024576,1,GA,Gathering,742,Active,100103127,2018-01-11T15:40:35.000Z,,,Encana Corporation,OGAA,SNK,741.546175505493
292886,000024576,2,GA,Gathering,4550,New,100103127,2018-01-11T15:40:35.000Z,,,Encana Corporation,OGAA,SNK,4546.82424711352
292887,000024576,3,FL,Flow,742,Active,100103127,2018-01-11T15:40:35.000Z,,,Encana Corporation,OGAA,SNK,741.615358156978
292888,000024576,4,FL,Flow,4557,New,100103127,2018-01-11T15:40:35.000Z,,,Encana Corporation,OGAA,SNK,4554.10741155789
292889,000024577,1,GA,Gathering,2028.34,New,100103206,2017-09-07T15:25:35.000Z,,,Tourmaline Oil Corp.,OGAA,SNK,2027.27799699157
292890,000024577,2,FL,Flow,2023.38,New,100103206,2017-09-07T15:25:35.000Z,,,Tourmaline Oil Corp.,OGAA,SNK,2022.31688869759
292891,000024577,3,FG,Fuel Gas,2018.42,New,100103206,2017-09-07T15:25:35.000Z,,,Tourmaline Oil Corp.,OGAA,SNK,2017.35582570888
292892,000024580,1,GA,Gathering,1399,New,100102345,2017-11-20T10:28:39.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,1399.01952604533
292893,000024580,2,GA,Gathering,1399,New,100102345,2017-11-20T10:28:39.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,1398.95580828461
292894,000024581,1,GA,Gathering,2160,Active,100103265,2017-11-23T14:53:48.000Z,,,Canadian Natural Resources Limited,OGAA,GPSD,2159.78008651099
292895,000024582,1,GA,Gathering,2100,New,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,2100.14551842316
292896,000024582,2,GA,Gathering,82.79,Active,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,82.7158168759156
292897,000024582,3,GA,Gathering,4429,Active,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,4429.76366024499
292898,000024582,4,GA,Gathering,287.79,New,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,287.636116306161
292899,000024582,5,GA,Gathering,5057,Active,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,5057.5118161538
292900,000024582,6,GA,Gathering,759.4,Active,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,759.477659536221
292901,000024582,7,FG,Fuel Gas,5057,Active,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,5057.5118161538
292902,000024582,8,FG,Fuel Gas,287.79,New,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,287.636116306161
292903,000024582,9,FG,Fuel Gas,4429,Active,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,4429.76366024499
292904,000024582,10,FG,Fuel Gas,82.79,Active,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,82.7158168759156
292905,000024582,11,FG,Fuel Gas,2100,New,100102794,2017-08-21T15:13:19.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,2100.14551842316
292906,000024590,1,GA,Gathering,3498.04,Active,100103178,2017-09-07T15:36:33.000Z,,,ARC Resources Ltd.,OGAA,CGWC,3498.0427110617
292907,000024594,1,GA,Gathering,1490,New,100103347,2017-08-28T14:17:20.000Z,,,Crew Energy Inc.,OGAA,SNK,1485.57863080971
292880,000024564,1,GA,Gathering,46,New,100103078,2017-08-29T13:56:34.000Z,,,Shell Canada Limited,OGAA,SNK,45.4006217668877
292908,000024601,1,GA,Gathering,843,Active,100103056,2017-09-25T09:05:36.000Z,,,Kelt Exploration (LNG) Ltd.,OGAA,GPSD,843.187655062162
292909,000024601,2,FG,Fuel Gas,843,Active,100103056,2017-09-25T09:05:36.000Z,,,Kelt Exploration (LNG) Ltd.,OGAA,GPSD,843.187627107753
292910,000024603,1,GA,Gathering,3094,Active,100103215,2017-09-11T15:46:32.000Z,,,Storm Resources Ltd.,OGAA,GPSD,3091.05250607677
